id,first_name,last_name,detentions,missed
916,Carl,Wallace,28,0
917,Aaron,Hughes,17,26
918,Aaron,Alexander,5,18
919,Karen,Moore,25,23
920,Ryan,Williamson,2,19
921,Arthur,Arnold,16,10
922,Timothy,Thompson,23,15
923,Sarah,Gutierrez,8,15
924,Ruth,Gibson,24,26
925,Diane,Turner,25,21
926,Julia,Watson,18,20
927,George,Arnold,20,27
928,Annie,Greene,3,17
929,Andrea,Moore,19,14
930,Virginia,Boyd,2,23
931,Cheryl,Fernandez,17,19
932,Donna,Fields,11,9
933,Douglas,Harrison,10,10
934,Jonathan,Carter,19,7
935,Angela,Howell,18,28
936,Harry,Romero,17,20
937,Howard,Bailey,1,14
938,Helen,Burns,28,24
939,Benjamin,Morrison,9,8
940,Martin,Gomez,9,5
941,Dennis,Reed,7,2
942,Victor,Jacobs,9,28
943,Mildred,Johnson,3,19
944,Lois,Arnold,13,14
945,Kenneth,Welch,22,12
946,George,Ward,8,9
947,Judy,Williams,5,14
948,Jerry,Collins,14,10
949,Judith,Vasquez,5,16
950,Jimmy,Patterson,21,27
951,Carlos,Medina,11,6
952,Clarence,Romero,10,28
953,Lillian,Morales,3,21
954,Christine,Pierce,11,8
955,Lori,Walker,24,19
956,Philip,Welch,25,24
957,Norma,Henry,26,25
958,Michelle,Bishop,20,21
959,Kathleen,Murphy,0,5
960,Anne,Perry,14,25
961,Raymond,Little,21,20
962,Howard,Hughes,27,18
963,Benjamin,Richardson,4,24
964,Richard,Fields,12,18
965,Judy,Richardson,7,14
966,Michael,Kim,11,28
967,Debra,Perry,27,27
968,Carol,Meyer,28,9
969,Lois,Harvey,2,14
970,Steve,Freeman,1,12
971,Katherine,Bell,18,11
972,Katherine,Gonzalez,15,20
973,Kathy,Ellis,21,20
974,Paula,Peterson,1,2
975,Benjamin,Knight,14,5
976,Steven,Fernandez,0,23
977,Ann,Freeman,13,12
978,Frances,Ortiz,0,28
979,Jose,Shaw,11,28
980,Sarah,Morales,18,8
981,Stephanie,Greene,19,25
982,Charles,Fields,24,1
983,Sean,Morgan,16,5
984,Terry,Riley,24,4
985,Theresa,Ward,8,24
986,Irene,Watson,5,21
987,Todd,Kennedy,16,21
988,Howard,Armstrong,26,28
989,George,Day,10,5
990,Amy,Lee,17,9
991,Christine,Johnston,27,13
992,Lori,Cole,28,13
993,Johnny,Campbell,4,18
994,Elizabeth,Thompson,23,10
995,Billy,Harris,16,12
996,Joshua,Hernandez,11,20
997,Tammy,Grant,4,14
998,Nancy,Murphy,21,7
999,Shirley,Williams,0,20
1000,Joseph,Fuller,20,12
